Reference,Value,,,,,,,
A1,MLX90640ESF-BAA-000-TU,,,,,,,
"C1, C2",24pF,,,,,,,
"C3, C6",4u7F,,,,,,,
"C4, C7-C11, C19, C20",0u1F,,,,,,,
"C5, C13, C15, C17, C18",1uF,,,,,,,
"C12, C16",10uF,,,,,,,
C14,10nF,,,,,,,
D1,BLINK,,,,,,,
D2,PWRLED,,,,,,,
D3,1N5819HW-7-F,,,,,,,
D4-D6,LESD5D5.0CT1G,,,,,,,
D7,CHGLED,,,,,,,
J3,TYPE-C-31-M-12,,,,,,,
Q1-Q3,BSS138,,,,,,,
"R1, R3, R10, R12, R14-R16",10k,,,,,,,
"R2, R6, R9, R13",1k,,,,,,,
"R4, R5",4k7,,,,,,,
"R7, R8",5k1,,,,,,,
R11,NTC10k,,,,,,,
R17,2k,,,,,,,
R18,5k,,,,,,,
"S1, S2",EG1224,,,,,,,
"SW1, SW2",PTS810_SJM_250_SMTR_LFS,,,,,,,
U1,STM32F413RGTx,,,,,,,
U2,TPS79533DCQR,,,,,,,
U3,BQ24090DGQR,,,,,,,
XTAL1,830050510,,,,,,,
